state,county,candidate,party,votes,combined,combined 2,winner,Color,Percent of Vote,Percentage Democrat,Lat,Lon
Delaware,Kent County,Joe Biden,DEM,44518,"Kent County, Delaware44518","Kent County, Delaware",1,#2cc5e6,0.51,0.51,39.1440612,-75.4344727
Delaware,New Castle County,Joe Biden,DEM,194238,"New Castle County, Delaware194238","New Castle County, Delaware",1,#2cc5e6,0.68,0.68,39.5392979,-75.667356
Delaware,Sussex County,Donald Trump,REP,71196,"Sussex County, Delaware71196","Sussex County, Delaware",1,#D74247,0.55,0.45,38.6530841,-75.4344727
District of Columbia,District of Columbia,Joe Biden,DEM,29509,"District of Columbia, District of Columbia29509","District of Columbia, District of Columbia",1,#2cc5e6,0.94,0.94,38.9071923,-77.0368707
District of Columbia,Ward 2,Joe Biden,DEM,24247,"Ward 2, District of Columbia24247","Ward 2, District of Columbia",1,#2cc5e6,0.89,0.89,38.9348181,-77.0748545
District of Columbia,Ward 3,Joe Biden,DEM,33584,"Ward 3, District of Columbia33584","Ward 3, District of Columbia",1,#2cc5e6,0.90,0.90,38.9598871,-77.0806054
District of Columbia,Ward 4,Joe Biden,DEM,35117,"Ward 4, District of Columbia35117","Ward 4, District of Columbia",1,#2cc5e6,0.94,0.94,38.932701,-77.0257151
District of Columbia,Ward 5,Joe Biden,DEM,36585,"Ward 5, District of Columbia36585","Ward 5, District of Columbia",1,#2cc5e6,0.94,0.94,38.9392304,-76.9794501
District of Columbia,Ward 6,Joe Biden,DEM,44699,"Ward 6, District of Columbia44699","Ward 6, District of Columbia",1,#2cc5e6,0.90,0.90,38.8951311,-77.0313808
District of Columbia,Ward 7,Joe Biden,DEM,30253,"Ward 7, District of Columbia30253","Ward 7, District of Columbia",1,#2cc5e6,0.95,0.95,38.894381,-76.9495199
District of Columbia,Ward 8,Joe Biden,DEM,24567,"Ward 8, District of Columbia24567","Ward 8, District of Columbia",1,#2cc5e6,0.94,0.94,38.8425064,-76.9980914
Florida,Alachua County,Joe Biden,DEM,89527,"Alachua County, Florida89527","Alachua County, Florida",1,#2cc5e6,0.63,0.63,29.6579549,-82.3017728
Florida,Baker County,Donald Trump,REP,11911,"Baker County, Florida11911","Baker County, Florida",1,#D74247,0.85,0.15,30.3931168,-82.3017728
Florida,Bay County,Donald Trump,REP,65993,"Bay County, Florida65993","Bay County, Florida",1,#D74247,0.71,0.29,30.1805306,-85.684578
Florida,Bradford County,Donald Trump,REP,10334,"Bradford County, Florida10334","Bradford County, Florida",1,#D74247,0.76,0.24,29.9723818,-82.1713632
Florida,Brevard County,Donald Trump,REP,207857,"Brevard County, Florida207857","Brevard County, Florida",1,#D74247,0.58,0.42,28.263933,-80.7214417
Florida,Broward County,Joe Biden,DEM,618597,"Broward County, Florida618597","Broward County, Florida",1,#2cc5e6,0.65,0.65,26.190096,-80.365865
Florida,Calhoun County,Donald Trump,REP,5269,"Calhoun County, Florida5269","Calhoun County, Florida",1,#D74247,0.81,0.19,30.3475302,-85.1894045
Florida,Charlotte County,Donald Trump,REP,73202,"Charlotte County, Florida73202","Charlotte County, Florida",1,#D74247,0.63,0.37,26.8946009,-81.909826
Florida,Citrus County,Donald Trump,REP,65230,"Citrus County, Florida65230","Citrus County, Florida",1,#D74247,0.70,0.30,28.8848842,-82.5185837
Florida,Clay County,Donald Trump,REP,84422,"Clay County, Florida84422","Clay County, Florida",1,#D74247,0.68,0.32,29.9943564,-81.7787021
Florida,Collier County,Donald Trump,REP,128936,"Collier County, Florida128936","Collier County, Florida",1,#D74247,0.62,0.38,26.069985,-81.4278984
Florida,Columbia County,Donald Trump,REP,23835,"Columbia County, Florida23835","Columbia County, Florida",1,#D74247,0.72,0.28,30.1812696,-82.605118
Florida,DeSoto County,Donald Trump,REP,8313,"DeSoto County, Florida8313","DeSoto County, Florida",1,#D74247,0.66,0.34,27.2142078,-81.7787021
Florida,Dixie County,Donald Trump,REP,6757,"Dixie County, Florida6757","Dixie County, Florida",1,#D74247,0.83,0.17,29.5207227,-83.1649001
Florida,Duval County,Joe Biden,DEM,252450,"Duval County, Florida252450","Duval County, Florida",1,#2cc5e6,0.51,0.51,30.3500511,-81.6035062
Florida,Escambia County,Donald Trump,REP,96655,"Escambia County, Florida96655","Escambia County, Florida",1,#D74247,0.57,0.43,30.6389408,-87.3413599
Florida,Flagler County,Donald Trump,REP,42991,"Flagler County, Florida42991","Flagler County, Florida",1,#D74247,0.60,0.40,29.4086072,-81.2518833
